what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382664530453
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382664531975
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382664663293
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382664758994
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382664994084
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1382665011755
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1382665011759
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1382665011916
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382665027717
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1382665253109
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1382665277213
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1382665278760
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1382665279852
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1382665281724
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.redo",1382665282250
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1382665282687
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1382665283433
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1382665284748
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1382665295771
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1382665302647
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1382665302651
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1382665302767
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1382665364713
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1382665372749
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1382665376116
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1382665380604
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1382665381440
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1382665381443
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1382665381562
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1382665395611
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1382665395614
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1382665395779
