what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.redo",1381283771520
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.redo",1381283771593
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.redo",1381283771683
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.redo",1381283771764
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381283774922
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381283799891
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1381283801027
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1381283804102
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1381283804794
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1381283804797
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1381283805171
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381283805859
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381283808647
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381283810508
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381283812801
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1381283816676
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1381283816680
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1381283816823
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381283816951
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381283823635
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381283825422
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381283828393
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1381283837750
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1381283856151
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1381283856154
